Designator,Mid X,Mid Y,Rotation,Layer
BT1,193.86,-57.285,270.0,top
H1,168.68748,-54.23755,0.0,top
H2,216.31252,-54.23755,0.0,top
H3,168.68748,-139.367309,0.0,top
H4,216.31252,-139.367309,0.0,top
H6,178.192003,-97.003494,0.0,top
H7,240.422933,-135.085732,0.0,top
HOLE_2,53.7089,-106.5,0.0,top
HOLE,331.2912,-106.5,180.0,top
J1,316.5,-103.4,0.0,top
J2,187.6,-83.675,90.0,top
RESET1,176.84,-52.595,0.0,top
RESET2,176.827506,-52.610006,180.0,bottom
SW1,208.975,-53.75,180.0,bottom
SW2,208.225,-55.725,0.0,top
TB1,192.52501,-120.300703,0.0,top
